time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2,V1thers,V2thers
17.3246483,17.8913512,1.1235260000000005,1.4484309999999665,41.39342100000005,1.3524489184143391,1.0812348339995914,37.97568494399656,0.3451951200000004,-0.47041736,0.0262490800000007,38.01513953425478,1.0,215.05,3731.67,222504.0688212044,3398.8267987255026,0.0,3731.67
17.435154700000002,18.0018576,1.2385260000000005,1.1434309999999663,42.46342100000005,1.3252148218325803,1.0961032767628704,39.04851066584233,0.3599951200000004,-0.48161736,0.0394490800000007,39.08636363154978,1.0,215.05,3734.12,222504.0688212044,3390.0356710550277,0.0,3734.12
17.545194600000002,18.1118975,1.5135260000000006,1.173430999999966,43.343421000000056,1.3702319692601417,1.1145890275880663,40.07524000598293,0.3783951200000004,-0.48161736,0.0506490800000007,40.11414595734448,1.0,215.54,3743.4,221975.50338684235,3356.84137415184,0.0,3743.4
17.655204100000002,18.221907,1.3935260000000005,0.0884309999999661,34.69342100000006,1.3758005755755145,0.8692785385270351,38.78867729643743,0.3035951200000004,-0.38761736,0.0554490800000007,38.82280204735946,1.0,215.54,3735.09,221975.50338684235,3386.5582890907576,0.0,3735.09
17.7660053,18.3327082,0.6985260000000006,-0.3965690000000339,21.48842100000005,1.2138931959163248,0.5666685404523303,34.65292605845778,0.1707951200000004,-0.24161736,0.0482490800000007,34.67881102833216,1.0,210.65,3663.25,227360.5506764776,3649.0820992288254,0.0,3663.25
17.8760209,18.4427238,0.6835260000000005,-0.6515690000000338,12.443421000000056,1.0871050865663825,0.2754400563334745,29.34358344141534,0.0831951200000004,-0.14441736,0.0382490800000007,29.365005599815166,1.0,207.23,3516.13,231277.80726728757,4220.17957242764,0.0,3516.13
17.9860349,18.5527378,0.4785260000000004,0.0534309999999662,8.028421000000055,0.9416198597842944,0.2223671877099571,24.24803988735978,0.0407951200000004,-0.09881736,0.0178490800000007,24.26733470131199,1.0,196.48,3246.33,244478.8273615635,5402.007805737557,0.0,3246.33
18.0977065,18.6644094,0.5835260000000004,-0.9265690000000336,1.3434210000000548,0.856014935872226,-0.0522943074298417,18.77252528828664,0.0139951200000004,-0.01841736,0.0218490800000007,18.792104777389547,1.0,174.98,2664.22,275746.9425077152,8767.218923362185,0.0,2664.22
18.2077258,18.7744287,0.2385260000000006,-0.1965690000000337,-0.186578999999945,0.7083997452522935,-0.0867842148729574,14.24021445498335,-0.0012048799999995,-0.00121736,0.0082490800000007,14.258087859981131,1.0,65.49,485.83,753475.3397465262,92916.65809027848,0.0,0.0
18.3177076,18.8844105,0.3385260000000003,-0.3815690000000338,-0.106578999999945,0.6199787546257933,-0.1572546471681096,10.81050984391905,0.0003951200000004,-0.00081736,0.0098490800000007,10.829414839487589,1.0,52.3,270.28,946022.9445506692,174993.3402397514,0.0,0.0
18.4285512,18.9952541,0.3335260000000004,-0.3815690000000338,-0.166578999999945,0.5515001544093175,-0.2108786135721377,8.186357461563915,0.0007951200000004,-0.00121736,0.0090490800000007,8.20762271906298,1.0,51.32,246.82,964279.0335151989,192576.7765983308,0.0,0.0
18.5385811,19.105284,0.3385260000000003,-0.3815690000000338,-0.116578999999945,0.5005871443553922,-0.251683383448626,6.201480523246507,-4.879999999594584e-06,-0.00121736,0.0098490800000007,6.2267401338745305,1.0,51.32,255.13,964279.0335151989,185978.52075412535,0.0,0.0
18.6488758,19.2155787,0.4035260000000007,-0.3915690000000336,-0.126578999999945,0.477383976665316,-0.2851240505644749,4.688712182776034,-4.879999999594584e-06,-0.00081736,0.0086490800000007,4.721568925505535,1.0,50.83,243.89,973671.0603974032,195010.4555332322,0.0,0.0
18.7685357,19.3352386,0.2735260000000004,-0.3415690000000337,-0.086578999999945,0.4286502547528132,-0.2986176234633853,3.547144330689009,0.0003951200000004,-0.00121736,0.0106490800000007,3.5854074285472426,1.0,51.81,238.03,955064.6593321752,200057.55577028103,0.0,0.0
18.8785442,19.4452471,0.2385260000000006,-0.2415690000000336,0.268421000000055,0.3831996782705546,-0.2849797379274248,2.763341834266919,-0.0012048799999995,-0.00681736,0.0090490800000007,2.804302682925918,1.0,52.3,244.38,946022.9445506692,194599.39438579264,0.0,0.0
18.9894009,19.5561038,0.4785260000000004,-0.456569000000034,1.6584210000000552,0.4059881240802151,-0.3259993905199095,2.499202527317477,0.0043951200000004,-0.01561736,0.0130490800000007,2.5528641233061324,1.0,70.87,673.51,695517.1440666008,64237.94746922838,0.0,673.51
19.0994353,19.6661382,0.7935260000000006,-0.981569000000034,4.353421000000055,0.4986318527415824,-0.4827180412457712,2.942466847364625,0.0199951200000004,-0.03721736,0.0206490800000007,3.0232038601048017,1.0,123.66,1717.99,394334.4654698367,19103.77825249274,0.0,1717.99
19.2094085,19.7761114,0.8235260000000006,-0.5165690000000336,8.568421000000056,0.5763001455525419,-0.4908103574621251,4.287391827254673,0.0243951200000004,-0.07601736,0.0170490800000007,4.353704783878455,1.0,165.69,2555.72,291768.3626048645,9563.958493105662,0.0,2555.72
19.319389,19.8860919,1.0235260000000006,-0.3615690000000338,12.998421000000056,0.6832127166436692,-0.459914277371561,6.369826276082895,0.0371951200000004,-0.11601736,0.0194490800000007,6.422848865276989,1.0,183.28,2981.43,262806.63465735485,6770.475912565448,0.0,2981.43
19.4310887,19.9977916,1.0735260000000006,0.0384309999999663,16.483421000000053,0.7765199265012057,-0.3407812389636253,8.787554151506235,0.0331951200000004,-0.14441736,0.0222490800000007,8.82837601231039,1.0,193.55,3208.21,248331.1805734952,5585.01469666886,0.0,3208.21
19.5411856,20.1078885,1.2385260000000005,0.0034309999999662,18.178421000000053,0.8869658157231032,-0.2584948167841703,11.03250870760482,0.0451951200000004,-0.15441736,0.0310490800000007,11.071123534309509,1.0,197.46,3329.42,243215.8411830244,5017.630698439968,0.0,3329.42
