Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:47:35.908 63.66,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.022 61.76,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.136 61.69,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.250 60.22,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.364 61.17,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.479 62.77,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.592 65.10,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.706 60.15,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.821 49.66,0.00,0.00,0.00,0.00,0.00,N 
09:47:36.934 35.88,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.049 25.76,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.163 15.05,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.279 5.25,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.392 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.506 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.622 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.735 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.849 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:37.963 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:38.076 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:38.190 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:38.304 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:38.350 Disconnected
09:48:08.905 Connected to CDC device
09:48:08.994 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.108 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.222 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.336 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.450 2.94,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.564 5.76,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.678 9.57,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.792 12.53,0.00,0.00,0.00,0.00,0.00,N 
09:48:09.907 13.59,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.023 14.10,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.137 14.59,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.251 15.70,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.365 15.61,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.478 16.91,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.592 18.81,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.706 20.85,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.821 22.18,0.00,0.00,0.00,0.00,0.00,N 
09:48:10.936 23.36,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.050 24.98,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.164 27.05,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.278 28.82,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.392 31.05,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.506 34.82,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.620 38.19,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.734 44.56,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.847 48.15,0.00,0.00,0.00,0.00,0.00,N 
09:48:11.966 50.45,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.080 52.75,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.198 52.80,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.312 55.58,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.426 59.25,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.543 62.93,0.00,0.00,0.00,0.00,0.00,N 
09:48:12.656 67.58,0.00,0.00,0.00,0.00,0.00,N 
