Time,Fx,Fy,Fz,Mx,My,Mz
154819,-0.0627825,-0.03979,0.0173145,-3.548e-05,0.00022492,-0.00100368
155625,-0.0227825,-0.01979,0.0273145,-3.548e-05,-0.00017508,-0.00060368
156460,-0.0027825,0.07021,0.0023145,-3.548e-05,-0.00017508,0.00059632
157340,0.0422175,0.04521,-0.0076855,-3.548e-05,0.00022492,-0.00060368
158177,-0.0177825,0.03021,0.0023145,-3.548e-05,0.00022492,-0.00020368
158987,0.0622175,0.03021,-0.0076855,0.00036452,0.00022492,0.00059632
159840,0.0022175,-0.02979,-0.0126855,-3.548e-05,-0.00017508,0.00019632
160620,0.0422175,-0.00479,-0.0126855,-3.548e-05,0.00022492,0.00059632
161459,0.0472175,0.02021,-0.0076855,-0.00043548,0.00022492,0.00099632
162317,0.0672175,-0.01479,-0.0026855,-3.548e-05,0.00022492,0.00019632
163157,0.0622175,-0.01979,-0.0176855,-3.548e-05,-0.00017508,-0.00060368
164039,0.0672175,-0.01979,0.0173145,-3.548e-05,0.00022492,-0.00060368
164836,0.0422175,-0.05479,0.0073145,-3.548e-05,0.00022492,-0.00060368
165638,0.0172175,-0.04479,0.0073145,0.00036452,-0.00017508,0.00059632
166612,-0.0227825,-0.06479,0.0073145,-3.548e-05,-0.00017508,0.00019632
167290,-0.0427825,-0.14979,0.0173145,-3.548e-05,0.00022492,0.00059632
168156,-0.0227825,-0.01479,0.0073145,-3.548e-05,0.00022492,0.00019632
169011,-0.0227825,0.00521,-0.0076855,-3.548e-05,-0.00017508,0.00019632
169817,0.0222175,0.03021,-0.0076855,-3.548e-05,0.00022492,0.00059632
170658,-0.0227825,0.05521,0.0123145,-3.548e-05,-0.00017508,0.00099632
171489,-0.0427825,0.02021,0.0023145,-3.548e-05,-0.00017508,0.00019632
172310,-0.0027825,-0.07979,0.0173145,-3.548e-05,-0.00017508,-0.00100368
173156,0.0422175,-0.07979,0.0073145,-3.548e-05,-0.00017508,-0.00020368
174012,0.0622175,0.00521,0.0073145,0.00036452,0.00022492,0.00099632
174815,0.0172175,-0.06479,0.0173145,0.00036452,-0.00017508,0.00019632
175678,0.0422175,-0.07979,-0.0026855,-3.548e-05,-0.00017508,0.00059632
176503,0.0422175,-0.02979,0.0073145,-3.548e-05,-0.00057508,0.00099632
177321,-0.0227825,-0.03979,0.0173145,-3.548e-05,-0.00017508,0.00059632
178135,-0.0427825,-0.00479,0.0123145,-3.548e-05,-0.00017508,-0.00020368
178971,0.0222175,-0.03979,0.0173145,-3.548e-05,-0.00017508,-0.00020368
179783,0.0422175,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00019632
180631,0.0222175,-0.01479,-0.0026855,-3.548e-05,0.00022492,-0.00060368
181508,-0.0027825,-0.05479,-0.0126855,0.00036452,-0.00017508,-0.00060368
182400,0.0622175,-0.03979,-0.0026855,-3.548e-05,-0.00017508,-0.00020368
183161,-0.0227825,-0.06479,0.0273145,-3.548e-05,-0.00017508,0.00019632
183961,0.0222175,-0.06479,0.0173145,-3.548e-05,0.00022492,0.00019632
184833,0.0222175,-0.01479,-0.0176855,-0.00043548,-0.00017508,-0.00060368
185631,0.0622175,-0.01979,0.0173145,-3.548e-05,-0.00017508,0.00019632
186451,0.0222175,0.05521,0.0023145,-3.548e-05,0.00022492,0.00099632
187332,0.0022175,0.09521,-0.0076855,-3.548e-05,0.00022492,0.00099632
188141,-0.0027825,-0.00479,-0.0376855,0.00036452,0.00022492,-0.00100368
188964,-0.0627825,0.05521,-0.0276855,-3.548e-05,0.00022492,-0.00060368
189813,-0.0627825,0.08021,0.0123145,-3.548e-05,-0.00017508,0.00099632
191745,-0.0227825,0.08021,0.0123145,-0.00043548,-0.00017508,0.00099632
192061,0.0422175,0.02021,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
192362,0.0022175,0.07021,0.0123145,-3.548e-05,-0.00017508,0.00059632
193108,-0.0677825,0.10521,-0.0076855,-3.548e-05,-0.00017508,0.00139632
193978,-0.0677825,0.03021,-0.0276855,-3.548e-05,-0.00017508,0.00059632
