Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:47:25.733, 1.88,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.847, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.961, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.075, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.189, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.304, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.418, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.532, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.646, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.760, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.874, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.988, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.102, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.217, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.331, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.445, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.559, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.673, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.786, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.903, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.017, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.131, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.245, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.359, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.473, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.587, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.701, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.815, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.929, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.043, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.157, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.271, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.385, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.499, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.613, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.726, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.840, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.954, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.067, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.182, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.296, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.411, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.525, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.639, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.753, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.867, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.983, 2.01,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.098, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.211, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.325, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.439, 6.86,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.553, 3.37,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.667, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.782, 6.42,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.895, 10.17,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.008, 12.44,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.122, 12.72,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.237, 14.30,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.354, 16.42,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.467, 14.76,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.585, 17.09,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.698, 20.55,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.817, 22.69,0.00,0.00,0.00,0.00,0.00,N 
09:47:32.931, 25.58,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.051, 28.92,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.164, 31.49,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.278, 33.28,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.392, 34.68,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.506, 35.93,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.620, 36.59,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.734, 37.36,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.848, 39.26,0.00,0.00,0.00,0.00,0.00,N 
09:47:33.966, 42.67,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.080, 45.90,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.194, 49.62,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.308, 53.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.426, 55.47,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.539, 57.94,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.653, 59.66,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.767, 60.37,0.00,0.00,0.00,0.00,0.00,N 
09:47:34.881, 60.65,0.00,0.00,0.00,0.00,0.00,N
