V_FSR1[mV],V_FSR2[mV],FSR1_filtered,FSR2_filtered,,,,SME V1,SME V2,,Variance 1,Variance 2
20.04,57.18,20.53772118,57.0014176,,,,0.791000296,0.12537678,,,
20.04,56.7,19.55112633,56.91040018,,,,0.791000296,0.695699183,,,
16.62,57.18,17.00231183,56.99463263,,,,6.404027592,0.12537678,,,
19.55,57.67,19.36597001,57.78006345,,,,0.159505961,0.01847266,,,
19.06,57.67,18.98340351,57.66815839,,,,0.008211627,0.01847266,,,
19.55,57.18,19.90233978,57.06346292,,,,0.159505961,0.12537678,,,
21.99,57.67,21.3990416,57.89268149,,,,8.062089996,0.01847266,,,
16.62,59.63,17.37042124,59.33040017,,,,6.404027592,4.392856179,,,
18.08,56.7,17.26980354,57.03864738,,,,1.146222957,0.695699183,,,
17.6,56.7,18.37430106,56.36085723,,,,2.404416262,0.695699183,,,
19.06,58.16,18.39396194,58.46476994,,,,0.008211627,0.39176854,,,
19.06,58.16,19.57801108,57.92100473,,,,0.008211627,0.39176854,,,
18.57,57.67,18.20785844,57.81258988,,,,0.337117292,0.01847266,,,
18.08,57.18,18.3032201,57.16501609,,,,1.146222957,0.12537678,,,
19.06,57.18,18.94285311,57.03874713,,,,0.008211627,0.12537678,,,
18.08,58.65,18.1325312,58.9654411,,,,1.146222957,1.245264419,,,
20.53,58.16,20.49715919,57.67328026,,,,1.902694631,0.39176854,,,
21.02,58.16,21.07669098,58.78749617,,,,3.494588966,0.39176854,,,
19.06,59.63,18.94397379,58.91743645,,,,0.008211627,4.392856179,,,
20.53,54.25,20.72443666,54.98059191,,,,1.902694631,10.78521978,,,
21.02,58.16,20.75144131,57.46774987,,,,3.494588966,0.39176854,,,
18.08,58.16,18.39354859,58.78984284,,,,1.146222957,0.39176854,,,
19.06,58.16,18.74942021,57.5726759,,,,0.008211627,0.39176854,,,
18.57,56.7,18.8228284,57.30439861,,,,0.337117292,0.695699183,,,
19.06,57.18,18.9125885,56.47895569,,,,0.008211627,0.12537678,,,
18.57,58.65,18.58287808,59.51846809,,,,0.337117292,1.245264419,,,
18.57,56.21,18.69649682,55.13968924,,,,0.337117292,1.753203304,,,
20.04,47.41,19.79246483,48.66420188,,,,0.791000296,102.497114,,,
18.08,55.23,18.41371568,53.86104196,,,,1.146222957,5.308811544,,,
19.06,56.21,18.6824933,57.58985672,,,,0.008211627,1.753203304,,,
20.04,57.18,20.41899685,55.90331303,,,,0.791000296,0.12537678,,,
20.53,57.18,20.18765693,58.25464612,,,,1.902694631,0.12537678,,,
20.53,62.56,20.80264142,61.7490508,,,,1.902694631,25.25981317,,,
20.53,58.16,20.35482421,58.69838866,,,,1.902694631,0.39176854,,,
19.06,57.67,19.11721139,57.3551338,,,,0.008211627,0.01847266,,,
19.06,57.67,19.12918872,57.85892403,,,,0.008211627,0.01847266,,,
